,id,median,max
176,S088_2_2_12,14.464648261615963,57.55143404048377
177,S091_2_2_7,21.224843224222525,43.26874741277213
178,S085_1_2_3,7.592921315949756,38.190278425494434
179,S047_2_1_3,13.948901149186803,42.17307091408542
180,S029_1_2_12,16.776171497248605,48.82462012843073
181,S022_1_2_2,12.661034152698937,41.98780785935412
182,S018_1_3_6,19.63574051520635,46.783981006335395
183,S098_1_4_4,16.25449855468105,48.18161968462781
184,S088_2_1_4,15.683267060795426,46.76289746757297
185,S106_2_1_2,12.272858462549284,41.05999057622344
186,S022_2_1_11,17.471647727077695,40.78926835595452
187,S084_1_2_3,11.689578746431138,39.03022178090788
188,S018_1_1_10,16.97548629046024,48.5807296952953
189,S071_2_2_6,15.544810004105209,41.081548056142616
190,S107_2_1_7,15.761057164794314,38.17734906240312
191,S070_1_4_2,17.558748509134606,41.47328737728944
192,S055_2_1_4,25.14688324676971,42.58288207618191
193,S103_2_4_7,18.467099491846085,48.65913645118243
194,S057_1_2_4,11.901246409718535,42.605342414594176
195,S059_2_1_8,17.21543054330442,44.064709591574875
196,S081_1_4_4,22.458517804279353,43.39751879196002
197,S073_1_4_3,21.975582509367413,46.88407783381497
198,S092_1_2_11,12.177724363061772,39.64097788527722
199,S063_1_3_7,14.614497625241787,43.55809587212609
200,S093_2_3_10,19.771496302818814,57.34419469178362
201,S059_2_4_4,17.056165387790955,42.59761268071452
202,S095_1_4_7,22.03910400142185,49.15112727231001
203,S100_1_3_1,17.546772593297696,57.136706641097334
204,S028_1_2_9,13.867283950295562,51.825945031616115
205,S086_1_1_12,15.8460676776971,43.01880888288362
206,S097_1_4_2,7.578730743399516,53.40517585555925
207,S081_1_3_9,18.32876259077369,40.470345001233696
208,S039_1_4_1,23.093548962345796,46.36795719882807
209,S017_1_2_12,22.460602606088468,43.94540252394429
210,S054_1_4_10,24.090211844819216,45.39493252627457
211,S070_1_1_8,11.689987045612867,40.81874308898418
212,S029_2_4_9,18.117251466344012,37.45189462507982
213,S063_2_4_10,16.662065029454723,42.85896336599434
214,S104_2_4_5,13.876442095968565,43.36498108051227
