,id,len,mean,std,id_person,id_location,id_direction,id_exp
2302,S025_2_2_11,10284.0,17.534056815472663,6.831153327023561,25,2,2,11
2303,S025_2_2_12,10284.0,17.534056815472663,6.831153327023561,25,2,2,12
2306,S025_2_2_4,10733.0,17.37063538411534,7.00560042212002,25,2,2,4
2307,S025_2_2_5,10754.0,17.554772603513385,6.795791774912733,25,2,2,5
2308,S025_2_2_6,10652.0,17.569523255812054,6.7849215290022125,25,2,2,6
2309,S025_2_2_7,10422.0,17.647305801125082,6.833808022618714,25,2,2,7
2310,S025_2_2_8,10348.0,17.476402636669487,7.1386383539377265,25,2,2,8
2311,S025_2_2_9,10129.0,17.49723925903156,6.925617632480931,25,2,2,9
2313,S025_2_3_10,10129.0,19.293892866616893,7.404254584040948,25,2,3,10
2314,S025_2_3_11,10109.0,19.470346028814134,7.414782626537818,25,2,3,11
2315,S025_2_3_12,10109.0,19.470346028814134,7.414782626537818,25,2,3,12
2316,S025_2_3_13,11110.0,19.152563412588254,7.521682306659829,25,2,3,13
2317,S025_2_3_2,10777.0,19.451987352429537,7.4041629374021865,25,2,3,2
2318,S025_2_3_3,10985.0,19.609022098641443,7.283143193874591,25,2,3,3
2319,S025_2_3_4,10315.0,19.536327578702988,7.2645805201546585,25,2,3,4
2320,S025_2_3_5,11172.0,19.836166218197032,7.247459539277548,25,2,3,5
2321,S025_2_3_6,11108.0,19.568661063975135,7.211919868480429,25,2,3,6
2322,S025_2_3_7,11108.0,19.568661063975135,7.211919868480429,25,2,3,7
2323,S025_2_3_8,11108.0,19.568661063975135,7.211919868480429,25,2,3,8
2326,S025_2_4_10,10666.0,18.207852296957387,8.018526930808271,25,2,4,10
2327,S025_2_4_11,11124.0,18.262934413198835,8.040368931192535,25,2,4,11
2328,S025_2_4_12,11175.0,18.163107322003327,8.020858969452933,25,2,4,12
2329,S025_2_4_13,11175.0,18.163107322003327,8.020858969452933,25,2,4,13
2330,S025_2_4_14,10659.0,18.171229541422473,7.865454802972113,25,2,4,14
2331,S025_2_4_2,11269.0,18.755595376934988,7.837609693792255,25,2,4,2
2334,S025_2_4_5,10661.0,18.11571737027036,8.059746264506055,25,2,4,5
2335,S025_2_4_6,11093.0,18.12936762943471,8.080674778264196,25,2,4,6
2336,S025_2_4_7,11096.0,18.10805500822723,8.010935619171818,25,2,4,7
2337,S025_2_4_8,11115.0,18.218327267760998,8.086095527931793,25,2,4,8
2338,S025_2_4_9,10985.0,18.501764433306818,7.995228698862784,25,2,4,9
2340,S026_1_1_10,13924.0,20.887264616650928,7.38059197202058,26,1,1,10
2341,S026_1_1_11,14017.0,21.056497899428756,7.502664961335019,26,1,1,11
2346,S026_1_1_5,13778.0,20.542164534281333,7.364776900569746,26,1,1,5
2347,S026_1_1_6,13759.0,20.1362597538072,7.383105850423611,26,1,1,6
2348,S026_1_1_7,13880.0,20.68425092657325,7.4894308188600665,26,1,1,7
2349,S026_1_1_8,13821.0,20.52554571310138,7.402627775272515,26,1,1,8
2350,S026_1_1_9,13690.0,20.550506117670125,7.406074043774201,26,1,1,9
2351,S026_1_2_1,14618.0,15.182433226062273,8.907638193046616,26,1,2,1
2352,S026_1_2_10,13913.0,15.209163345067093,8.913799123903921,26,1,2,10
2353,S026_1_2_11,13480.0,15.230592291795299,8.833527349728726,26,1,2,11
2354,S026_1_2_12,13491.0,15.255769636016327,8.850725417249148,26,1,2,12
2355,S026_1_2_2,14443.0,15.086511426815402,8.905830286982422,26,1,2,2
2356,S026_1_2_3,14556.0,15.009172780285684,9.031085176222316,26,1,2,3
2357,S026_1_2_4,14102.0,15.058211769126306,9.007429316746856,26,1,2,4
2358,S026_1_2_5,14402.0,15.190302198322216,8.949173363902565,26,1,2,5
2359,S026_1_2_6,14335.0,15.08271534228497,8.971819182038882,26,1,2,6
2360,S026_1_2_7,12282.0,15.184475850877009,8.944486253851238,26,1,2,7
2361,S026_1_2_8,12282.0,15.184475850877009,8.944486253851238,26,1,2,8
2362,S026_1_2_9,13673.0,15.276792169073003,8.846829864615396,26,1,2,9
2363,S026_1_3_1,12998.0,21.634942153399656,7.272609116802274,26,1,3,1
2364,S026_1_3_10,14344.0,21.698349511044178,7.07084591266471,26,1,3,10
2365,S026_1_3_11,13973.0,21.5489084909811,6.967911324699103,26,1,3,11
2366,S026_1_3_12,12755.0,21.59519699954604,6.962939447109437,26,1,3,12
2367,S026_1_3_13,13230.0,21.296704402173688,7.077182092808945,26,1,3,13
2368,S026_1_3_14,13791.0,21.257732242379568,6.977170501491872,26,1,3,14
2369,S026_1_3_2,14239.0,21.747677127477253,7.329863094936458,26,1,3,2
