"","c_ch1","v_ch1","c_dch1","v_dch1","c_ch2","v_ch2","c_dch2","v_dch2","c_ch3","v_ch3","c_dch3","v_dch3","c_dch1.1","c_ch2.1","c_dch2.1","c_ch3.1","c_dch3.1"
"360",16.35622296,0.3343,181.631512,0.1426,131.2519409,0.1035,318.3622274,0.2297,NA,NA,NA,NA,190.7813744,156.1142518,59.7937407,NA,NA
"361",16.45573607,0.3322,182.2385419,0.1426,132.4659097,0.1033,319.118527,0.23,NA,NA,NA,NA,190.1743445,157.3282206,59.0374411,NA,NA
"362",16.56520048,0.33,182.8455719,0.1427,133.6799696,0.1031,320.3126842,0.2306,NA,NA,NA,NA,189.5673145,158.5422805,57.8432839,NA,NA
"363",16.66471359,0.3278,183.4526018,0.1428,134.8740372,0.1029,321.5068415,0.2312,NA,NA,NA,NA,188.9602846,159.7363481,56.6491266,NA,NA
"364",16.76422669,0.3255,184.0596317,0.1429,135.9685992,0.1026,322.5417778,0.2317,NA,NA,NA,NA,188.3532547,160.8309101,55.6141903,NA,NA
"365",16.85378848,0.3238,184.6567104,0.143,136.0681123,0.1026,322.7209013,0.2318,NA,NA,NA,NA,187.756176,160.9304232,55.4350668,NA,NA
"366",16.87369111,0.3235,185.253789,0.1431,137.2821721,0.1025,323.9349612,0.2325,NA,NA,NA,NA,187.1590974,162.144483,54.2210069,NA,NA
"367",16.98315552,0.3213,185.8508676,0.1432,138.4763294,0.1022,325.1291185,0.2332,NA,NA,NA,NA,186.5620188,163.3386403,53.0268496,NA,NA
"368",17.08266862,0.3193,186.4479462,0.1432,139.6704866,0.1019,325.8655154,0.2337,NA,NA,NA,NA,185.9649402,164.5327975,52.2904527,NA,NA
"369",17.20208435,0.317,187.0549762,0.1433,140.8845465,0.1017,326.3232757,0.234,NA,NA,NA,NA,185.3579102,165.7468574,51.8326924,NA,NA
"370",17.32150007,0.3147,187.6520548,0.1434,142.0986064,0.1015,327.5373356,0.235,NA,NA,NA,NA,184.7608316,166.9609173,50.6186325,NA,NA
"371",17.42101318,0.3126,188.2590847,0.1435,143.2927636,0.1012,328.353343,0.2357,NA,NA,NA,NA,184.1538017,168.1550745,49.8026251,NA,NA
"372",17.46081842,0.312,188.8561633,0.1437,144.4869209,0.1009,328.7513955,0.2361,NA,NA,NA,NA,183.5567231,169.3492318,49.4045726,NA,NA
"373",17.53047759,0.3106,189.4631933,0.1437,145.4024414,0.1006,329.9455527,0.2374,NA,NA,NA,NA,182.9496931,170.2647523,48.2104154,NA,NA
"374",17.63994201,0.3085,190.0702232,0.1438,145.6810781,0.1006,330.0848711,0.2377,NA,NA,NA,NA,182.3426632,170.543389,48.071097,NA,NA
"375",17.74940642,0.3064,190.159785,0.1439,146.8752354,0.1003,331.13971,0.2393,NA,NA,NA,NA,182.2531014,171.7375463,47.0162581,NA,NA
